District,Date,Forecasted_Crime_Count
NORTHERN,2015-06-01,500.9060347697327
NORTHERN,2015-07-01,590.0208368695729
NORTHERN,2015-08-01,622.9857559961711
NORTHERN,2015-09-01,635.179980383335
NORTHERN,2015-10-01,639.6908092385019
NORTHERN,2015-11-01,641.3594333604284
NORTHERN,2015-12-01,641.9766827728254
NORTHERN,2016-01-01,642.2050127077088
NORTHERN,2016-02-01,642.2894754194049
NORTHERN,2016-03-01,642.3207194596167
NORTHERN,2016-04-01,642.3322771047498
NORTHERN,2016-05-01,642.3365524532679
PARK,2015-06-01,252.47602892450567
PARK,2015-07-01,291.4162134877329
PARK,2015-08-01,303.03779628970153
PARK,2015-09-01,306.5062232716978
PARK,2015-10-01,307.54136503632924
PARK,2015-11-01,307.8503000314859
PARK,2015-12-01,307.94250076620017
PARK,2016-01-01,307.9700178025189
PARK,2016-02-01,307.9782301805451
PARK,2016-03-01,307.9806811404546
PARK,2016-04-01,307.9814126221836
PARK,2016-05-01,307.9816309307401
INGLESIDE,2015-06-01,406.64713800701924
INGLESIDE,2015-07-01,464.9514205867513
INGLESIDE,2015-08-01,482.6891723866907
INGLESIDE,2015-09-01,488.0854799132604
INGLESIDE,2015-10-01,489.72718373512873
INGLESIDE,2015-11-01,490.2266347811388
INGLESIDE,2015-12-01,490.3785814014961
INGLESIDE,2016-01-01,490.4248077045992
INGLESIDE,2016-02-01,490.4388710058661
INGLESIDE,2016-03-01,490.4431494453961
INGLESIDE,2016-04-01,490.44445106330676
INGLESIDE,2016-05-01,490.4448470509498
BAYVIEW,2015-06-01,446.3629421734631
BAYVIEW,2015-07-01,500.6601499343298
BAYVIEW,2015-08-01,512.5786157510873
BAYVIEW,2015-09-01,515.1947692013867
BAYVIEW,2015-10-01,515.7690259036118
BAYVIEW,2015-11-01,515.8950776686612
BAYVIEW,2015-12-01,515.9227465620507
BAYVIEW,2016-01-01,515.928820000698
BAYVIEW,2016-02-01,515.9301531460638
BAYVIEW,2016-03-01,515.9304457770872
BAYVIEW,2016-04-01,515.9305100108295
BAYVIEW,2016-05-01,515.9305241104065
RICHMOND,2015-06-01,248.35246435186824
RICHMOND,2015-07-01,284.67007942158114
RICHMOND,2015-08-01,294.63566012165234
RICHMOND,2015-09-01,297.3702229088562
RICHMOND,2015-10-01,298.1205889800583
RICHMOND,2015-11-01,298.32648999043045
RICHMOND,2015-12-01,298.38298938146016
RICHMOND,2016-01-01,298.398492856557
RICHMOND,2016-02-01,298.40274702170285
RICHMOND,2016-03-01,298.40391436779623
RICHMOND,2016-04-01,298.40423468843613
RICHMOND,2016-05-01,298.404322584659
CENTRAL,2015-06-01,458.4176723451208
CENTRAL,2015-07-01,542.1675052035941
CENTRAL,2015-08-01,578.2446499364621
CENTRAL,2015-09-01,593.785700320118
CENTRAL,2015-10-01,600.4803611314348
CENTRAL,2015-11-01,603.3642384931422
CENTRAL,2015-12-01,604.6065342377317
CENTRAL,2016-01-01,605.1416813759274
CENTRAL,2016-02-01,605.372208173404
CENTRAL,2016-03-01,605.47151283293
CENTRAL,2016-04-01,605.5142905729217
CENTRAL,2016-05-01,605.5327180570653
TARAVAL,2015-06-01,334.2995350164884
TARAVAL,2015-07-01,376.1769209832206
TARAVAL,2015-08-01,390.285706307108
TARAVAL,2015-09-01,395.03905513059175
TARAVAL,2015-10-01,396.64049171914485
TARAVAL,2015-11-01,397.1800269483892
TARAVAL,2015-12-01,397.36180015481926
TARAVAL,2016-01-01,397.4230408241675
TARAVAL,2016-02-01,397.4436732355986
TARAVAL,2016-03-01,397.4506244398554
TARAVAL,2016-04-01,397.45296634936904
TARAVAL,2016-05-01,397.45375535512505
TENDERLOIN,2015-06-01,301.68881142995554
TENDERLOIN,2015-07-01,348.79639541752044
TENDERLOIN,2015-08-01,365.3955741027776
TENDERLOIN,2015-09-01,371.2445841708343
TENDERLOIN,2015-10-01,373.30558486399593
TENDERLOIN,2015-11-01,374.03181439818854
TENDERLOIN,2015-12-01,374.2877140386319
TENDERLOIN,2016-01-01,374.37788473934825
TENDERLOIN,2016-02-01,374.40965795815225
TENDERLOIN,2016-03-01,374.42085380586275
TENDERLOIN,2016-04-01,374.42479885803795
TENDERLOIN,2016-05-01,374.42618896596616
MISSION,2015-06-01,532.7749649200944
MISSION,2015-07-01,613.3827267611053
MISSION,2015-08-01,638.6874182486074
MISSION,2015-09-01,646.6311620848477
MISSION,2015-10-01,649.1248919991987
MISSION,2015-11-01,649.9077330643094
MISSION,2015-12-01,650.1534854730594
MISSION,2016-01-01,650.2306329926494
MISSION,2016-02-01,650.2548514318872
MISSION,2016-03-01,650.2624541753356
MISSION,2016-04-01,650.2648408571268
MISSION,2016-05-01,650.265590093243
SOUTHERN,2015-06-01,668.9640037258034
SOUTHERN,2015-07-01,774.7936456711188
SOUTHERN,2015-08-01,815.3783341198407
SOUTHERN,2015-09-01,830.9421866114793
SOUTHERN,2015-10-01,836.9107800303384
SOUTHERN,2015-11-01,839.1996803793224
SOUTHERN,2015-12-01,840.0774524840574
SOUTHERN,2016-01-01,840.4140699642343
SOUTHERN,2016-02-01,840.5431596531745
SOUTHERN,2016-03-01,840.5926643544215
SOUTHERN,2016-04-01,840.6116489492847
SOUTHERN,2016-05-01,840.6189293657511
